,Date,Ticker,Close
0,2020-01-02,AAPL,72.4683
1,2020-01-03,AAPL,71.7661
2,2020-01-06,AAPL,72.3337
3,2020-01-07,AAPL,71.997
4,2020-01-08,AAPL,73.1541
5,2020-01-09,AAPL,74.7105
6,2020-01-10,AAPL,74.8745
7,2020-01-13,AAPL,76.4775
8,2020-01-14,AAPL,75.4434
9,2020-01-15,AAPL,75.1183
10,2020-01-16,AAPL,76.06
11,2020-01-17,AAPL,76.9037
12,2020-01-21,AAPL,76.3821
13,2020-01-22,AAPL,76.6543
14,2020-01-23,AAPL,77.0225
15,2020-01-24,AAPL,76.8008
16,2020-01-27,AAPL,74.5445
17,2020-01-28,AAPL,76.6523
18,2020-01-29,AAPL,78.256
19,2020-01-30,AAPL,78.142
20,2020-01-31,AAPL,74.6821
21,2020-02-03,AAPL,74.4748
22,2020-02-04,AAPL,76.9331
23,2020-02-05,AAPL,77.5568
24,2020-02-06,AAPL,78.4673
25,2020-02-07,AAPL,77.4008
26,2020-02-10,AAPL,77.7672
27,2020-02-11,AAPL,77.3015
28,2020-02-12,AAPL,79.134
29,2020-02-13,AAPL,78.5703
30,2020-02-14,AAPL,78.59
31,2020-02-18,AAPL,77.1521
32,2020-02-19,AAPL,78.2679
33,2020-02-20,AAPL,77.4674
34,2020-02-21,AAPL,75.7114
35,2020-02-24,AAPL,72.1157
36,2020-02-25,AAPL,69.6713
37,2020-02-26,AAPL,70.778
38,2020-02-27,AAPL,66.1513
39,2020-02-28,AAPL,66.1118
40,2020-03-02,AAPL,72.2649
41,2020-03-03,AAPL,69.9727
42,2020-03-04,AAPL,73.2187
43,2020-03-05,AAPL,70.8408
44,2020-03-06,AAPL,69.9008
45,2020-03-09,AAPL,64.3717
46,2020-03-10,AAPL,69.0102
47,2020-03-11,AAPL,66.6147
48,2020-03-12,AAPL,60.0355
49,2020-03-13,AAPL,67.2276
50,2020-03-16,AAPL,58.5799
51,2020-03-17,AAPL,61.1569
52,2020-03-18,AAPL,59.6574
53,2020-03-19,AAPL,59.1996
54,2020-03-20,AAPL,55.4419
55,2020-03-23,AAPL,54.2652
56,2020-03-24,AAPL,59.7074
57,2020-03-25,AAPL,59.3812
58,2020-03-26,AAPL,62.5035
59,2020-03-27,AAPL,59.9176
60,2020-03-30,AAPL,61.6264
61,2020-03-31,AAPL,61.4987
62,2020-04-01,AAPL,58.2664
63,2020-04-02,AAPL,59.2368
64,2020-04-03,AAPL,58.3875
65,2020-04-06,AAPL,63.4798
66,2020-04-07,AAPL,62.7433
67,2020-04-08,AAPL,64.3478
68,2020-04-09,AAPL,64.8157
69,2020-04-13,AAPL,66.0865
70,2020-04-14,AAPL,69.4247
71,2020-04-15,AAPL,68.7902
72,2020-04-16,AAPL,69.3383
73,2020-04-17,AAPL,68.3952
74,2020-04-20,AAPL,66.9741
75,2020-04-21,AAPL,64.9079
76,2020-04-22,AAPL,66.774
77,2020-04-23,AAPL,66.5176
78,2020-04-24,AAPL,68.4378
79,2020-04-27,AAPL,68.4867
80,2020-04-28,AAPL,67.3759
81,2020-04-29,AAPL,69.5867
82,2020-04-30,AAPL,71.056
83,2020-05-01,AAPL,69.9108
84,2020-05-04,AAPL,70.8999
85,2020-05-05,AAPL,71.9683
86,2020-05-06,AAPL,72.7101
87,2020-05-07,AAPL,73.4584
88,2020-05-08,AAPL,75.2076
89,2020-05-11,AAPL,76.392
90,2020-05-12,AAPL,75.5178
91,2020-05-13,AAPL,74.6084
92,2020-05-14,AAPL,75.064
93,2020-05-15,AAPL,74.623
94,2020-05-18,AAPL,76.3801
95,2020-05-19,AAPL,75.9391
96,2020-05-20,AAPL,77.4154
97,2020-05-21,AAPL,76.8379
98,2020-05-22,AAPL,77.3338
99,2020-05-26,AAPL,76.8085
100,2020-05-27,AAPL,77.1453
101,2020-05-28,AAPL,77.1798
102,2020-05-29,AAPL,77.1033
103,2020-06-01,AAPL,78.0508
104,2020-06-02,AAPL,78.4133
105,2020-06-03,AAPL,78.8423
106,2020-06-04,AAPL,78.1638
107,2020-06-05,AAPL,80.3915
108,2020-06-08,AAPL,80.8667
